                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1008,                  3.691,                 1.2395,                0.00333,                      1,                0.07463,                0.06804,                0.41875,                 3.2197,                0.99081,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.5568,                  4.285,                 1.5484,                0.00333,                      1,                0.06634,                0.06026,                 0.4221,                 3.1761,                0.98803,               0.091882,             0.00088218,             0.00088218
                      2,                0.92469,                  3.085,                 1.2029,                0.00333,                      1,                0.23874,                0.20818,                0.37014,                 3.0799,                0.97365,               0.087345,              0.0013446,              0.0013446
                      3,                0.94169,                 3.2113,                 1.2478,                0.00333,                      1,                 0.2102,                0.19666,                0.35406,                 3.0894,                0.96456,               0.082787,              0.0017871,              0.0017871
                      4,                 0.8849,                 3.1652,                 1.1299,                0.00333,                      1,                0.28468,                 0.2568,                0.47938,                  3.136,                0.98678,                0.07821,              0.0022099,              0.0022099
                      5,                0.75664,                 3.4144,                 1.2149,                0.00333,                      1,                0.28468,                 0.2568,                0.47938,                  3.136,                0.98678,               0.073613,              0.0026129,              0.0026129
                      6,                 1.1151,                 3.3008,                 1.3175,                0.00333,                      1,                0.28468,                 0.2568,                0.47938,                  3.136,                0.98678,               0.068996,              0.0029961,              0.0029961
                      7,                0.62132,                 2.9804,                0.97806,                0.00333,                      1,                0.69329,                0.62495,                0.37604,                 3.0785,                0.97199,               0.064359,              0.0033595,              0.0033595
                      8,                0.63938,                  2.918,                0.96904,                0.00333,                      1,                0.69329,                0.62495,                0.37604,                 3.0785,                0.97199,               0.059703,               0.003703,               0.003703
                      9,                0.86216,                 3.2024,                 1.0812,                0.00333,                      1,                0.69329,                0.62495,                0.37604,                 3.0785,                0.97199,               0.055027,              0.0040268,              0.0040268
                     10,                0.44802,                 3.0451,                0.91593,                0.00333,                      1,                0.54125,                0.43732,                0.73933,                  3.268,                 1.1395,               0.050331,              0.0043308,              0.0043308
                     11,                0.70354,                 3.2668,                 1.0821,                0.00333,                      1,                0.54125,                0.43732,                0.73933,                  3.268,                 1.1395,               0.045615,               0.004615,               0.004615
                     12,                0.67494,                 2.5671,                 1.0272,                0.00333,                      1,                0.54125,                0.43732,                0.73933,                  3.268,                 1.1395,               0.040879,              0.0048794,              0.0048794
                     13,                 1.2793,                 3.5544,                 1.4885,                0.00333,                      1,                0.54125,                0.43732,                0.73933,                  3.268,                 1.1395,               0.036124,              0.0051239,              0.0051239
                     14,                0.91566,                 3.2579,                 1.4795,                0.00333,                      1,                0.54125,                0.43732,                0.73933,                  3.268,                 1.1395,               0.031349,              0.0053487,              0.0053487
                     15,                0.66087,                 3.0202,                0.94621,                0.00333,                      1,                0.69329,                0.61061,                0.64809,                  3.119,                  1.141,               0.026554,              0.0055537,              0.0055537
                     16,                0.99583,                   2.96,                 1.3322,                0.00333,                      1,                0.69329,                0.61061,                0.64809,                  3.119,                  1.141,               0.021739,              0.0057389,              0.0057389
                     17,                  0.824,                 2.6274,                 1.0746,                0.00333,                      1,                0.69329,                0.61061,                0.64809,                  3.119,                  1.141,               0.016904,              0.0059043,              0.0059043
                     18,                0.87455,                 2.8167,                 1.1699,                0.00333,                      1,                0.69329,                0.61061,                0.64809,                  3.119,                  1.141,                0.01205,              0.0060498,              0.0060498
                     19,                0.83941,                 3.0581,                 1.2402,                0.00333,                      1,                0.69329,                0.61061,                0.64809,                  3.119,                  1.141,              0.0071756,              0.0061756,              0.0061756
                     20,                0.69053,                 2.7532,                0.96586,                0.00333,                      1,                0.69329,                0.61061,                0.64809,                  3.119,                  1.141,                0.00604,                0.00604,                0.00604
                     21,                 0.5949,                 5.1457,                0.85821,                0.00333,                      1,                0.69329,                0.61061,                0.64809,                  3.119,                  1.141,                0.00604,                0.00604,                0.00604
                     22,                 1.7977,                 4.2317,                 1.8981,                0.63366,                0.33333,                0.56625,                0.44071,                0.93952,                 3.2248,                 1.4441,               0.005842,               0.005842,               0.005842
                     23,                 1.0414,                 3.2963,                 1.2383,                0.63366,                0.33333,                0.56625,                0.44071,                0.93952,                 3.2248,                 1.4441,               0.005644,               0.005644,               0.005644
                     24,                 1.0196,                 3.0242,                 1.1358,                0.63366,                0.33333,                0.56625,                0.44071,                0.93952,                 3.2248,                 1.4441,               0.005446,               0.005446,               0.005446
                     25,                0.82163,                 2.7825,                 1.0947,                0.63366,                0.33333,                0.56625,                0.44071,                0.93952,                 3.2248,                 1.4441,               0.005248,               0.005248,               0.005248
                     26,                0.82337,                 2.4693,                  1.001,                0.63366,                0.33333,                0.56625,                0.44071,                0.93952,                 3.2248,                 1.4441,                0.00505,                0.00505,                0.00505
                     27,                0.69147,                 3.0263,                 1.0088,                0.63366,                0.33333,                0.56625,                0.44071,                0.93952,                 3.2248,                 1.4441,               0.004852,               0.004852,               0.004852
                     28,                0.63212,                 2.3363,                0.94829,                0.97484,                0.66667,                0.72324,                0.56183,                0.80839,                 2.6566,                  1.247,               0.004654,               0.004654,               0.004654
                     29,                 1.0435,                 2.7502,                   1.28,                0.97484,                0.66667,                0.72324,                0.56183,                0.80839,                 2.6566,                  1.247,               0.004456,               0.004456,               0.004456
                     30,                0.65713,                 3.3542,                0.86632,                0.97484,                0.66667,                0.72324,                0.56183,                0.80839,                 2.6566,                  1.247,               0.004258,               0.004258,               0.004258
                     31,                 1.0638,                 3.2118,                 1.2483,                0.97484,                0.66667,                0.72324,                0.56183,                0.80839,                 2.6566,                  1.247,                0.00406,                0.00406,                0.00406
                     32,                  1.079,                 2.6417,                 1.3394,                0.97484,                0.66667,                0.72324,                0.56183,                0.80839,                 2.6566,                  1.247,               0.003862,               0.003862,               0.003862
                     33,                0.84694,                 2.3419,                0.90961,                0.97484,                0.66667,                0.72324,                0.56183,                0.80839,                 2.6566,                  1.247,               0.003664,               0.003664,               0.003664
                     34,                 1.1181,                 2.9599,                 1.3177,                0.96776,                0.66667,                0.80643,                0.66984,                0.73432,                 2.4627,                 1.0657,               0.003466,               0.003466,               0.003466
                     35,                 1.0342,                 2.5387,                 1.2279,                0.96776,                0.66667,                0.80643,                0.66984,                0.73432,                 2.4627,                 1.0657,               0.003268,               0.003268,               0.003268
                     36,                0.73023,                 4.9762,                0.81861,                0.96776,                0.66667,                0.80643,                0.66984,                0.73432,                 2.4627,                 1.0657,                0.00307,                0.00307,                0.00307
                     37,                 0.7343,                 3.2826,                 0.8787,                0.96776,                0.66667,                0.80643,                0.66984,                0.73432,                 2.4627,                 1.0657,               0.002872,               0.002872,               0.002872
                     38,                 1.1608,                 2.4485,                 1.2301,                0.96776,                0.66667,                0.80643,                0.66984,                0.73432,                 2.4627,                 1.0657,               0.002674,               0.002674,               0.002674
                     39,                 0.8169,                  3.984,                  1.004,                0.96776,                0.66667,                0.80643,                0.66984,                0.73432,                 2.4627,                 1.0657,               0.002476,               0.002476,               0.002476
                     40,                0.87705,                 2.1162,                 1.0708,                0.96776,                0.66667,                0.80643,                0.66984,                0.73432,                 2.4627,                 1.0657,               0.002278,               0.002278,               0.002278
                     41,                0.78999,                  2.044,                 1.0862,                      1,                0.97692,                  0.995,                0.86274,                0.65203,                 1.8588,                0.99901,                0.00208,                0.00208,                0.00208
                     42,                0.91126,                 2.0458,                 1.0958,                      1,                0.97692,                  0.995,                0.86274,                0.65203,                 1.8588,                0.99901,               0.001882,               0.001882,               0.001882
                     43,                0.99301,                 2.4377,                  1.256,                      1,                0.97692,                  0.995,                0.86274,                0.65203,                 1.8588,                0.99901,               0.001684,               0.001684,               0.001684
                     44,                0.76363,                 2.1654,                 1.0324,                      1,                0.97692,                  0.995,                0.86274,                0.65203,                 1.8588,                0.99901,               0.001486,               0.001486,               0.001486
                     45,                 1.0097,                  2.362,                 1.2538,                      1,                0.97692,                  0.995,                0.86274,                0.65203,                 1.8588,                0.99901,               0.001288,               0.001288,               0.001288
                     46,                 0.9786,                 2.7344,                 1.1913,                      1,                0.97692,                  0.995,                0.86274,                0.65203,                 1.8588,                0.99901,                0.00109,                0.00109,                0.00109
                     47,                0.80909,                 2.2407,                 1.0161,                      1,                0.98442,                  0.995,                0.85154,                0.70619,                 1.9221,                   1.02,               0.000892,               0.000892,               0.000892
                     48,                0.70231,                 2.0381,                 1.0239,                      1,                0.98442,                  0.995,                0.85154,                0.70619,                 1.9221,                   1.02,               0.000694,               0.000694,               0.000694
                     49,                 1.0653,                 2.5139,                 1.2456,                      1,                0.98442,                  0.995,                0.85154,                0.70619,                 1.9221,                   1.02,               0.000496,               0.000496,               0.000496
